Age,Matches,Starts,minutes_90s,Non-Penalty Goals,Penalty Goals,Assists,Yellow Cards,Red Cards,xG(Ex),npxG(Ex),xAG(Ex),PrgC,PrgP,PrgP Received,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG + xAG,npxG,npxG + xA,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save2%,Gls(shoot),Sh,SoT,SoT%,Sh/90,SoT/90, G/Sh,G/SoT,Dist,FK,PK,xG(shoot),npxG(shoot), npxG/Sh, G-xG,np:G-xG,Cmp(total),Att(total),Cmp%(total),TotDist,PrgDist,Cmp(short),Att(short),Cmp%(short),Cmp(Medium),Att(Medium),Cmp%(Medium),Cmp(Long),Att(Long),Cmp%(Long),Ast(passing),xAG(passing),xA(passing),A-xAG,KP,`1/3,PPA,CrsPA,PrgP(passing),Live,Dead,FK(passtype),TB,Sw,Crs(passtype),TI,CK,In,Out,Str,Cmp(passtype),Off,Blocks,SCA,SCA90,PassLive(SCA),PassDead(SCA),TO(SCA),Sh(SCA),Fld(SCA),Def(SCA),GCA,GCA90,PassLive(GCA),PassDead(GCA),TO(GCA),Sh(GCA),Fld(GCA),Def(GCA),Tkl(Tackles),TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl(Challenges),Att(Challenges),Tkl%,Lost,`Blocks,Sh(Blocks),Pass(Blocks),Int(Blocks),Tkl + Int,Clr,Err,Touches,Def Pen,Def 3rd(Touches),Mid 3rd(Touches),Att 3rd(Touches),Att Pen(Touches),Live(Touches),Att(Taek-Ons),Succ,Succ%,Tkld,Tkld%,Carries,TotDist(Carries),ProDist,ProgC,1/3`,CPA,Mis,Dis,Rec,PrgR,`Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,onxG,onxGA,Fls,`Fld,`Off,Crs,OG,Recov,Won,`Lost,Won%
Leon Chiwome: 17,Alex Iwobi: 2,David Ozoh: 0,Ivan Perišić: 1.1,Aaron Cresswell: 0,Aaron Cresswell: 0,Aaron Cresswell: 0,Aaron Ramsdale: 0,Aaron Cresswell: 0,Aaron Cresswell: 0.0,Aaron Cresswell: 0.0,Aaron Ramsdale: 0.0,Aaron Ramsdale: 0,Bernd Leno: 0,Aaron Ramsdale: 0,Aaron Cresswell: 0.0,Aaron Cresswell: 0.0,Aaron Cresswell: 0.0,Aaron Cresswell: 0.0,Aaron Cresswell: 0.0,Aaron Cresswell: 0.0,Aaron Ramsdale: 0.0,Aaron Ramsdale: 0.0,Aaron Cresswell: 0.0,Aaron Ramsdale: 0.0,Thomas Strakosha: 2.0,David Raya: 0.75,Thomas Strakosha: 8.0,Ionuț Radu: 4.0,Ionuț Radu: 36.4,Ivo Grbić: 0.0,Daniel Bentley: 0.0,Aaron Ramsdale: 0.0,Arijanet Muric: 0.0,Arijanet Muric: 0.0,Aaron Cresswell: 0.0,Aaron Ramsdale: 0.0,Aaron Ramsdale: 0.0,Aaron Ramsdale: 0.0,Alisson: 0.0,Aaron Cresswell: 0.0,Aaron Cresswell: 0.0,Aaron Cresswell: 0.0,Adam Smith: 0.0,Aaron Cresswell: 0.0,Aaron Cresswell: 0.0,Aaron Hickey: 0.0,Aaron Hickey: 0.0,Tim Ream: 1.3,Aaron Cresswell: 0.0,Aaron Cresswell: 0.0,Aaron Cresswell: 0.0,Aaron Cresswell: 0.0,Benson Manuel: 0.02,Dominic Calvert-Lewin: -5.9,Dominic Calvert-Lewin: -6.4,Cole Palmer: 4,Cole Palmer: 5,Ivo Grbić: 49.7,Cole Palmer: 51,Cole Palmer: 0,Cole Palmer: 2,Cole Palmer: 2,William Osula: 58.9,Cole Palmer: 2,Cole Palmer: 3,William Osula: 40.0,Armando Broja: 0,Armando Broja: 0,Maxwel Cornet: 0.0,Aaron Cresswell: 0,Aaron Ramsdale: 0.0,Aaron Ramsdale: 0.0,Dejan Kulusevski: -4.7,Aaron Ramsdale: 0,Cole Palmer: 0,Aaron Ramsdale: 0,Aaron Cresswell: 0,Bernd Leno: 0,Cole Palmer: 5,Calum Chambers: 0,Abdoulaye Doucouré: 0,Aaron Cresswell: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Aaron Hickey: 0,Aaron Hickey: 0,Aaron Hickey: 0,Aaron Cresswell: 0,Cole Palmer: 4,Aaron Cresswell: 0,Alfie Gilchrist: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0.0,Aaron Ramsdale: 0,Aaron Hickey: 0,Aaron Cresswell: 0,Aaron Cresswell: 0,Aaron Ramsdale: 0,Aaron Cresswell: 0,Aaron Hickey: 0,Aaron Hickey: 0.0,Aaron Hickey: 0,Aaron Cresswell: 0,Aaron Cresswell: 0,Aaron Cresswell: 0,Aaron Cresswell: 0,Aaron Cresswell: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Adam Lallana: 0.0,Aaron Hickey: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Armando Broja: 0,Aaron Cresswell: 0,Cole Palmer: 6,Armando Broja: 0,Cole Palmer: 0,Dean Henderson: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Cole Palmer: 6,Aaron Ramsdale: 0,Aaron Cresswell: 0,Aaron Cresswell: 0.0,Aaron Ramsdale: 0,Alfie Gilchrist: 0.0,Cole Palmer: 6,Cole Palmer: 35,Cole Palmer: 4,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Aaron Cresswell: 0,Aaron Cresswell: 0,Aaron Ramsdale: 0,Cole Palmer: 6,Aaron Ramsdale: 0,Armando Broja: 0,Rhys Norrington-Davies: 27.0,Aaron Ramsey: 0,Aaron Hickey: 0,Ben Godfrey: 1.0,Aaron Hickey: 0,Matheus Nunes: 0.0,Benson Manuel: 0.0,Cole Palmer: 0.0,Cole Palmer: 0.1,Cole Palmer: 0.1,Aaron Ramsdale: 0,Alfie Gilchrist: 0,Aaron Hickey: 0,Aaron Ramsdale: 0,Aaron Cresswell: 0,Cole Palmer: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Anass Zaroury: 0.0
Lewis Miley: 17,Ionuț Radu: 2,Ivan Perišić: 0,Kieffer Moore: 1.2,Aaron Hickey: 0,Aaron Hickey: 0,Aaron Hickey: 0,Alex Iwobi: 0,Aaron Hickey: 0,Aaron Ramsdale: 0.0,Aaron Ramsdale: 0.0,Alfie Gilchrist: 0.0,Alisson: 0,Daniel Bentley: 0,Alisson: 0,Aaron Hickey: 0.0,Aaron Hickey: 0.0,Aaron Hickey: 0.0,Aaron Hickey: 0.0,Aaron Hickey: 0.0,Aaron Ramsdale: 0.0,Alfie Gilchrist: 0.0,Alisson: 0.0,Aaron Ramsdale: 0.0,Alisson: 0.0,Aaron Ramsdale: 5.0,Aaron Ramsdale: 0.83,Ionuț Radu: 11.0,Thomas Strakosha: 6.0,Odisseas Vlachodimos: 50.0,Thomas Strakosha: 0.0,Ionuț Radu: 0.0,Caoimhín Kelleher: 0.0,Ionuț Radu: 0.0,Ionuț Radu: 0.0,Aaron Hickey: 0.0,Caoimhín Kelleher: 0.0,Alisson: 0.0,Alisson: 0.0,André Onana: 0.0,Aaron Hickey: 0.0,Aaron Ramsdale: 0.0,Aaron Ramsdale: 0.0,Adam Webster: 0.0,Aaron Ramsdale: 0.0,Aaron Ramsdale: 0.0,Aaron Ramsey: 0.0,Aaron Ramsey: 0.0,Andrew Omobamidele: 5.1,Aaron Hickey: 0.0,Aaron Hickey: 0.0,Aaron Ramsdale: 0.0,Aaron Ramsdale: 0.0,Charlie Taylor: 0.02,Brennan Johnson: -5.3,Brennan Johnson: -5.3,Armando Broja: 19,Leon Chiwome: 22,William Osula: 52.7,Armando Broja: 200,Neal Maupay: 14,Thomas Strakosha: 6,Thomas Strakosha: 6,Youssef Chermiti: 59.4,Armando Broja: 4,Armando Broja: 5,Rhian Brewster: 45.5,Cole Palmer: 0,Cole Palmer: 0,Danny Ings: 12.5,Aaron Hickey: 0,Alfie Gilchrist: 0.0,Alfie Gilchrist: 0.0,Bruno Fernandes: -3.8,Alfie Gilchrist: 0,Ionuț Radu: 0,Alisson: 0,Aaron Hickey: 0,Cole Palmer: 0,Leon Chiwome: 18,Carney Chukwuemeka: 0,Adama Traoré: 0,Aaron Ramsdale: 0,Aaron Ramsey: 0,Alisson: 0,Abdoulaye Doucouré: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Aaron Hickey: 0,Armando Broja: 19,Aaron Hickey: 0,Alphonse Areola: 0,Angelo Ogbonna: 0,Angelo Ogbonna: 0.0,Angelo Ogbonna: 0,Aaron Ramsdale: 0,Aaron Hickey: 0,Aaron Hickey: 0,Aaron Ramsey: 0,Aaron Hickey: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0.0,Aaron Ramsdale: 0,Aaron Hickey: 0,Aaron Hickey: 0,Aaron Hickey: 0,Aaron Hickey: 0,Aaron Hickey: 0,Alisson: 0,Alexander Isak: 0,Alisson: 0,Alfie Gilchrist: 0,Adam Lallana: 0,Adam Lallana: 0,Armando Broja: 0,Alisson: 0.0,Aaron Ramsdale: 0,Alisson: 0,Adama Traoré: 0,Alisson: 0,Alisson: 0,Alisson: 0,Arnaut Danjuma: 0,Aaron Hickey: 0,Leon Chiwome: 39,Benson Manuel: 0,Neal Maupay: 1,Ionuț Radu: 0,Alisson: 0,Alisson: 0,Leon Chiwome: 39,Alisson: 0,Aaron Ramsdale: 0,Adam Webster: 0.0,Alfie Gilchrist: 0,Alphonse Areola: 0.0,Leon Chiwome: 16,Leon Chiwome: 86,Nathan Fraser: 22,Alisson: 0,Alisson: 0,Aaron Ramsdale: 0,Alphonse Areola: 0,Alisson: 0,Leon Chiwome: 18,Alisson: 0,Cole Palmer: 0,Benson Manuel: 45.0,Adam Lallana: 0,Aaron Ramsdale: 0,Ben Mee: 1.0,Abdoulaye Doucouré: 0,Matheus Nunes: 0.0,Cole Palmer: 0.0,Hannibal Mejbri: 1.0,Benson Manuel: 0.5,Ivan Perišić: 1.5,Arijanet Muric: 0,Caoimhín Kelleher: 0,Aaron Ramsdale: 0,Alisson: 0,Aaron Hickey: 0,Ionuț Radu: 0,Anass Zaroury: 0,Arijanet Muric: 0,Andros Townsend: 0.0
David Ozoh: 18,Matheus Nunes: 2,Jesurun Rak Sakyi: 0,Maxwel Cornet: 1.2,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Amari'i Bell: 0,Aaron Ramsdale: 0,Alisson: 0.0,Alisson: 0.0,Alisson: 0.0,Alphonse Areola: 0,Dean Henderson: 0,Alphonse Areola: 0,Aaron Ramsdale: 0.0,Aaron Ramsdale: 0.0,Aaron Ramsdale: 0.0,Aaron Ramsdale: 0.0,Aaron Ramsdale: 0.0,Adam Smith: 0.0,Alisson: 0.0,Alphonse Areola: 0.0,Adam Smith: 0.0,Alphonse Areola: 0.0,Mark Travers: 5.0,Ederson: 0.87,Aaron Ramsdale: 14.0,Daniel Bentley: 8.0,Daniel Bentley: 53.3,Daniel Bentley: 1.0,Mark Travers: 0.0,Stefan Ortega: 0.0,Ivo Grbić: 0.0,Ivo Grbić: 0.0,Aaron Ramsdale: 0.0,Daniel Bentley: 0.0,André Onana: 0.0,Alphonse Areola: 0.0,Bart Verbruggen: 0.0,Aaron Ramsdale: 0.0,Alisson: 0.0,Adam Smith: 0.0,Andrew Omobamidele: 0.0,Alisson: 0.0,Adam Smith: 0.0,Aaron Wan-Bissaka: 0.0,Aaron Wan-Bissaka: 0.0,Jonny Evans: 5.4,Aaron Ramsdale: 0.0,Aaron Ramsdale: 0.0,Alisson: 0.0,Alisson: 0.0,George Baldock: 0.02,Darwin Núñez: -5.3,Nicolas Jackson: -4.6,Leon Chiwome: 19,Neal Maupay: 26,Ivan Toney: 53.5,Leon Chiwome: 244,Neal Maupay: 14,Mark Travers: 10,Mark Travers: 10,Ivan Toney: 61.6,Kieffer Moore: 4,Leon Chiwome: 6,Dominic Calvert-Lewin: 49.5,David Ozoh: 0,David Ozoh: 0,Jaidon Anthony: 16.7,Aaron Ramsdale: 0,Alisson: 0.0,Alisson: 0.0,Dominik Szoboszlai: -3.8,Alphonse Areola: 0,Lewis Dobbin: 0,Alphonse Areola: 0,Aaron Ramsdale: 0,Daniel Bentley: 0,Neal Maupay: 23,Cheikhou Kouyaté: 0,Alexander Isak: 0,Aaron Wan-Bissaka: 0,Adam Lallana: 0,Alphonse Areola: 0,Adam Lallana: 0,Aaron Ramsey: 0,Aaron Ramsey: 0,Aaron Ramsey: 0,Aaron Ramsdale: 0,Leon Chiwome: 19,Aaron Ramsdale: 0,Arijanet Muric: 0,Cole Palmer: 0,Cole Palmer: 0.0,Cole Palmer: 0,Aaron Ramsey: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Adam Webster: 0,Aaron Ramsdale: 0,Aaron Ramsey: 0,Aaron Ramsey: 0.0,Aaron Ramsey: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Aaron Ramsdale: 0,Armando Broja: 0,Alfie Gilchrist: 0,Armando Broja: 0,Alisson: 0,Alfie Gilchrist: 0,Alisson: 0,Benson Manuel: 0,Anass Zaroury: 0.0,André Onana: 0,Alphonse Areola: 0,Alex Iwobi: 0,Alphonse Areola: 0,Anass Zaroury: 0,Armando Broja: 0,Benson Manuel: 0,Aaron Ramsey: 0,Neal Maupay: 40,Cole Palmer: 0,Neal Maupay: 1,Mark Travers: 0,Alphonse Areola: 0,Alphonse Areola: 0,Neal Maupay: 40,Andrew Omobamidele: 0,Adam Webster: 0,Benoît Badiashile: 0.0,Alisson: 0,André Onana: 0.0,Neal Maupay: 20,Nathan Fraser: 88,Leander Dendoncker: 27,Alphonse Areola: 0,Andrew Omobamidele: 0,Adam Webster: 0,Angelo Ogbonna: 0,Alphonse Areola: 0,Neal Maupay: 28,Alphonse Areola: 0,David Ozoh: 0,Tom Davies: 45.0,Adama Traoré: 0,Abdoulaye Doucouré: 0,Ethan Pinnock: 1.0,Adam Wharton: 0,Neal Maupay: 0.0,Neal Maupay: 0.0,Ivan Perišić: 1.0,Jaidon Anthony: 0.6,Neal Maupay: 1.5,Bernd Leno: 0,Cole Palmer: 0,Aaron Wan-Bissaka: 0,Alphonse Areola: 0,Aaron Ramsdale: 0,Mark Travers: 1,Andros Townsend: 0,Bart Verbruggen: 0,Benson Manuel: 0.0
